id,date,claim,outcome,condition,evidence_evals,contradicts,thesis_contribution,status,notes
robust6-grayscale-ir-features-dead,2026-06-01,"On grayscale-IR fallback, all 3 of robust6's IR features AND the cross-modal ratios go to chance (AUROC~0.51); only RGB features + conf_sum survive. robust6's grayscale recall hole is dead IR inputs, not a missing feature.",supported,,,,Statistics-first regime-split proves grayscale fix is architectural (regime routing) not a new feature; conf_sum is the only regime-robust cross-modal feature,confirmed,"Phase0 on fusion_dataset_full56.csv (thermal 56713/gray 8479). ir_max_conf 0.973->0.525, ir geom 0.97->0.516, xmodal_conf_ratio 0.915->0.506, xmodal_scale_ratio 0.913->0.501. SURVIVE: conf_sum 0.982->0.944, rgb_max_conf 0.749->0.905. REFUTES H2. Held-out grouped-LDA +conf_sum delta +0.0000 (linearly redundant). Decision: add conf_sum (robust7) + regime-route to RGB-only/filter-only on gray. trust_rgb only 4%. routing drivers=diff feats not ratios. doc docs/analysis/2026-06-01_robust6_phase0_results.md. relates grayscale-trust-classifier-degrades, robust6-production-viable, fusion-feature-leakage"
verifier-recall-precision-decision,2026-06-01,"Ship mlp_v5 full-veto: the verifier recall drop is a still-image carve-out (video frame-recall ~1.0), no runtime fix works, diverse training data is the only lever",supported,diagnosis+4 fix experiments on cached surfaces; svan video frame-recall ~1.0; rgb_dataset still-image frame R 0.93->0.84,,,negative-result chapter: OOD coverage gap diagnosis + why fail-open/re-weight/temporal/expanded-ref do not solve it -> data is the lever,confirmed,"fail-open recovers rgb_dataset R0.69->0.87 but craters svan P0.89->0.63; expanded-ref recovers half (P0.49->0.61@R0.90, vs fullveto 0.88); reweight no-op (43/19k); temporal -0.008 (systematic veto); size-aware mild R0.69->0.73. doc docs/analysis/2026-06-01_verifier_recall_precision_investigation.md"
verifier-score-as-classifier-feature,2026-06-01,"The verifier P(drone) (MLP on YOLO P3/P5 backbone) is a strong, non-redundant trust-classifier feature on the RGB branch (AUROC 0.949 vs raw conf 0.842, +0.107 significant); the IR verifier is weak (thermal 0.60-0.76, gray 0.618). Grayscale is fixed via the always-available strong RGB verifier signal, NOT by rescuing the dead IR branch.",supported,,,,Cross-branch use of the backbone-hooked verifier as a fusion-classifier feature; the RGB verifier score is the regime-robust signal that lets the classifier trust RGB when IR features die on grayscale,confirmed,"Detection-level AUROC on offline caches (6167 dets, zero-GPU). RGB mlp_v5 0.949 [0.939,0.957] vs conf 0.842, lift +0.107 CIs disjoint, rho 0.64 (non-redundant); svan confuser-rejection 0.970. thermal-IR aligned 0.813 pooled but 0.60-0.76 per-surface, neg pool only 97. gray-IR aligned_gray 0.618 [0.571,0.664] BEATS chance-level conf 0.535 (confirms ir_max_conf gray collapse) but weak; gray lift CIs slightly overlap (indicative). CAVEATS: pooled>per-surface ~0.05-0.10 cross-surface inflation; mlp_v5 in-sample risk on selcom/svan -> Phase1 grouped-CV is real test; gray n=562 small. Verifier-as-FEATURE preserves classifier->filter order (score=evidence not a filter decision). Phase1 sets: robust6+conf_sum(+rgb_verifier)(+ir_verifier); needs one-time P3/P5-hook pass over lean_ft4 frames. doc docs/analysis/2026-06-01_verifier_as_feature_phase0.md. relates robust6-grayscale-ir-features-dead, robust6-production-viable, mlp-beats-patch-both-modalities"
routing-failure-is-trust-rgb-recall,2026-06-01,"Under the goal-aligned per-class-by-regime metric, robust6's real failure is trust_rgb RECALL, catastrophic on grayscale (R=0.19): drone-only-in-RGB frames get dumped into reject. trust_both (F1 0.98) and thermal trust_ir (0.92) are fine. conf_sum (max+max) is redundant.",supported,,,,Reframes the trust classifier around modality-routing accuracy by regime; locates the grayscale over-rejection as a trust_rgb recall failure -> motivates the RGB verifier score as a targeted feature,confirmed,"robust6 GroupShuffleSplit: trust_rgb overall P0.771 R0.351 F10.482; GRAYSCALE trust_rgb P1.000 R0.190 F1.319 (n=79); grayscale reject P0.440 (half its rejects are real drones). thermal trust_rgb R0.520. trust_both F1 0.981; thermal trust_ir F1 0.918; grayscale trust_ir n=12 DATA-STARVED (62 total). robust7(+conf_sum) macroF1 0.807 vs robust6 0.810 -> conf_sum max+max redundant (retracted). LEVER: rgb_verifier_pdrone (AUROC 0.949, always-available) predicted to lift grayscale trust_rgb recall. docs/analysis/2026-06-01_routing_robustness_replan.md. relates robust6-grayscale-ir-features-dead, verifier-score-as-classifier-feature, robust6-production-viable"
blurriness-is-corpus-artifact,2026-06-02,"rgb_blurriness (the forward-sweep's top pick) is a CORPUS ARTIFACT: pooled AUROC 0.872 but within-source mean 0.516 (chance; every video_drone clip exactly 0.500, antiuav 0.419). Its gain is cross-clip (which video) not drone-vs-reject. REJECTED. Within-source AUROC catches what leakage_ratio (0.058) missed.",supported,,,,Method refinement: within-source AUROC is a complementary artifact test to leakage_ratio (leakage measures within-class variation; the artifact was a cross-clip mean shift). MI(nonlinear) surfaced free cross-modal diff features (area_diff/conf_diff/pos_euclidean_diff) as untested high-value candidates.,confirmed,"vet_blurriness_stats.py on full56. Spearman: blurriness weakly corr with all cheap feats (|r| 0.13-0.35) so no single substitute, but moot (drop it). MI top free non-robust6: area_diff 0.43, pos_euclidean_diff 0.39, conf_diff 0.37; blurriness MI rank 23/56. Added within-source artifact gate (artifact_min 0.55) to forward_select_routing.py -> re-running gated. plots blurriness_artifact_test.png, fusion_mutual_info.png. relates robust6-grayscale-ir-features-dead, fusion-feature-leakage, routing-failure-is-trust-rgb-recall"
forward-selection-free-xmodal-diffs-win,2026-06-02,"Statistics-gated forward selection from robust6: FREE cross-modal difference features (pos_euclidean_diff, area_diff) beat expensive scene features on grayscale routing (gray F1 0.36->0.61, +0.25 truly-free). But grayscale trust_rgb recall only 0.08->0.19 -> the specific trust_rgb hole needs the RGB verifier score, not these features.",supported,,,,"Forward-selection procedure with 3 statistical gates (leakage, within-source-AUROC artifact gate [new], cost). pos_euclidean_diff = free RGB-IR centroid-disagreement feature is the standout. Scene features were an artifact local optimum. Overall grayscale F1 != the trust_rgb hole.",confirmed,"full56 OLD detector, 22k subsample, GroupShuffleSplit. robust6 base gray F1 0.361 trust_rgb_R 0.083. free-only winner robust6+rgb_mean_conf+pos_euclidean_diff(+contrast_diff/bg_delta_diff which leaked the free filter, ROI-derived) gray 0.61-0.68 CI[+0.037,+0.368] wide. artifact-gated +0.135 (sky_ground_ratio expensive); un-gated +0.18 rode blurriness artifact. CARRY to ft4 re-mine: robust6 + pos_euclidean_diff + area_diff + aspect_ratio_diff + rgb_mean_conf + rgb/ir_verifier_pdrone; drop conf_sum + all scene stats. doc docs/analysis/2026-06-02_forward_selection_study.md. relates blurriness-is-corpus-artifact, routing-failure-is-trust-rgb-recall, verifier-score-as-classifier-feature"
ir-verifier-neutral-on-svanstrom,2026-06-02,"On Svanstrom (IoP, v3b @640), the IR aligned-MLP verifier is exactly recall-neutral (bare == aligned: P0.94/R0.97/F10.95); the patch CNN slightly costs recall (R0.97->0.94). IR is already clean on Svanstrom, so the verifier earns its keep only on confuser-dense thermal (CBAM FP 48->15). Contrasts RGB, where the same MRI-MLP rescues Svanstrom P0.46->0.89 and cuts confuser FP 216->16.",supported,,svanstrom_ir_aligned,,"Verifier matrix / Model-MRI: quantifies the RGB-vs-IR asymmetry (RGB needs the FP classifier, IR does not on clean surfaces) on one consistent re-runnable harness.",confirmed,"Source: eval/pipeline_eval_offline.py offline matrix, 1000 strided frames/surface. svanstrom_ir surface registered permanently in eval/pipeline_cache.py. relates project_ir_mlp_necessity, project_pipeline_useful_when."
mlp-feats-need-f32,2026-06-03,"V5 MLP verifier features must be scored/stored in float32; float16 caching saturates P(drone) to exactly 0.0000 for EVERY detection (the input scaler divides by tiny per-feature std, so f16 rounding is amplified to net saturation). imgsz is NOT the cause: f32 mlp_v5 gives P0.99 on Anti-UAV at both 640 and 1280.",supported,,,,,confirmed,"Bit eval/pipeline_cache_paired.py v1 (cached feats as f16) -> all-zero RGB filter across the Anti-UAV/Svan email recompute. Fix: store f32 + precompute P(drone) at cache time. PySide GUI unaffected (scores live in f32, any imgsz). Svan still needs imgsz 1280 (f32@640 -> P0.04, drones unresolvable)."
email-recompute-robust6-mlp,2026-06-04,"Supervisor-email 3-domain pipeline recomputed with the NEW stack (ft4+v3b detectors, robust6 classifier, V5 MLP filter) under trust-aware scoring. FILTER is a clear win: Svan rgb_filter F1 0.699->0.869 (+17pp, both P+R up), ir_filter +1.4pp. robust6 classifier is -1 to -3.4pp vs old fusion_no_fn on paired classifier configs (Anti-UAV 0.9818 vs 0.9916; Svan 0.9594 vs 0.9937) - its value (OOD-confuser FP) is not visible on these saturated/in-domain benchmarks.",supported,,,,yes,confirmed,scoring=trust_aware (eval/metrics.py score_trust_aware); f16->f32 cache bug fixed (see mlp-feats-need-f32). cache eval/results/_email_recompute; scripts pipeline_cache_paired.py + pipeline_eval_paired.py. Whole-path comparison (detector+clf+filter all change).
mlp-filter-beats-cnn-ood,2026-06-04,"On OOD confusers the V5 MLP filter beats CNN patch v2 at confuser suppression (filter-isolated, same ft4/v3b detector). RGB image confusers (rgb_confuser): MLP 78-99pct vs CNN ~52pct ceiling. RGB video confusers: MLP 90pct@0.5 / 99pct@0.95 vs CNN cap ~55pct (helicopters CNN 30pct vs MLP 84pct). IR OOD (domain-3): MLP recall-safe (keeps 99.6pct drones) vs CNN suppresses 81pct but kills 68pct of drone dets. MLP Pareto-dominates on Svan rgb_filter (+24pp recall at matched suppression).",supported,,,,yes,confirmed,"sweeps: eval/sweep_email_thresholds.py, sweep_rgb_filter_ood.py, eval_rgb_video_ood.py, eval_youtube_ir_filter.py. CNN patch v2 caps low on OOD; MLP recall cost steeper only on rgb_dataset_test (V5 photo-ceiling) + hard moving-drone video."
robust6-speed-feature-efficiency,2026-06-04,"robust6 (6 free conf+geometry feats) is 404x faster/frame than fusion_no_fn (40 feat): 0.095 vs 38.3 ms/frame. Gap is feature extraction (fusion_no_fn OpenCV scene stats 38ms vs robust6 geometry 0.010ms); XGBoost predict equal (~0.09ms). robust6 matches sa32 in-domain (Svan F1 0.9957 vs 0.9974 = 99.8pct) and generalises better OOD (confuser fire -30pct, drone-video F1 2.2x). Justified by AUROC (keep 0.95+, drop scene 0.50) + leakage F_domain/F_class (keep ~0.002, drop ~300). V5 MLP filter ~11-72x faster/det than CNN patch (0.11ms forward vs 23.7ms; full ~1.3-2.1ms incl ROI-pool).",supported,,,,yes,confirmed,"eval/bench_speed.py (classifiers CPU, filters GPU). Feature stats: 2026-06-01_statistical_feature_selection_STUDY.md."
scoring-rule-swing,2026-06-05,Scoring rule (dual vs trust-aware) drives a ~28pp F1 swing on Svanstrom over identical detections (same TP/FP; dual scores single-modality dets as FN),supported,Svanstrom IoP@640 May-10 ablation 2026-05-10T16-08-14; classifier_then_filter cascade,,,yes,confirmed,dual F1 0.6629 (P0.9789 R0.5011) vs trust_aware 0.9398 (P0.9789 R0.9036) = +27.7pp [classifier_then_filter; matches thesis 0.663/0.940]. Plain classifier config 0.6718 vs 0.9496 = +27.8pp. Source eval/results/_ablation/2026-05-10T16-08-14/master.csv E_scoring branch. Resolves clm-scoring-28pp + review row_9.
robust8-grayscale-router,2026-06-05,"robust8 (= robust6 + rgb_mean_conf + is_grayscale, 8 free conf+geometry feats) closes robust6 grayscale trust_rgb hole via a per-class trust_rgb decision threshold. Full-pipeline clf->filter on svanstrom_gray: recall 0.577->0.738 (tau0.10) / 0.681 (tau0.20) at ~unchanged precision 0.91, thermal F1 tie ~0.98, AND lower rgb_confuser FP (0.020->0.013). Cost: video-confuser fire-rate up ~7-10x (0.006->0.046-0.061) + slight video_drone recall drop - structural and tau-robust (rgb_mean_conf reads as drone on svanstrom but confident bird/plane on real-motion video). Mechanism: argmax suppresses the rare trust_rgb class; rgb_mean_conf separates drone-from-confuser at AUROC 0.934 on the IR-blind XOR slice; the threshold cashes that separability into recall.",partial,"full-pipeline 4000 frames/surface, ft4 RGB + v3b IR, mlp_v5/aligned verifiers, clf->filter cascade",svan_gray_robust8_t10_clffilter;svan_gray_robust8_t20_clffilter;svan_gray_robust6_clffilter;video_confuser_robust8_t20_clffilter;video_confuser_robust6_clffilter,,yes,confirmed,"Recommend ship robust8@tau0.20 (single balanced model) OR per-source routing (robust6 on real video, robust8 on svanstrom/paired). Supersedes the mid-investigation ""free features exhausted -> need verifier"" framing (that measured argmax recall, not separability); verifier re-mine now optional polish. sa32 worst on confuser FP (deprecated confirmed). Docs: docs/analysis/2026-06-05_routing_grayscale_hole_resolved.md, eval/results/_routing_pipeline_cmp/comparison.md."
robust8-full-pipeline-cmp,2026-06-09,"Full production-stack pipeline comparison (ft4 RGB + v3b IR + robust8 classifier + mlp_v5/mlp_v5_ir_aligned verifiers) across 6 surfaces, all cells (bare/filter_only/clf_only/clf->filter/filter->clf) on identical frames per surface. clf->filter robust8@0.20: Svanstrom F1 0.988, Anti-UAV 0.970, svanstrom_gray 0.78, video_drone(frame) 0.631; confuser fire rgb_confuser 0.013 (filter->clf 0.004), video_confuser 0.046. sa32/robust6 in same run for reference.",supported,"n=4000 strided/surface (Svan stride~7, Anti-UAV stride~21) -- NOT the thesis standard (svan_iop_1280_s9 n3190 / antiuav_iou_640_s5); internally comparable ONLY; re-run at standard before thesis use",,,,open,"script eval/compare_routing_pipeline.py; cache eval/results/_routing_pipeline_cmp/comparison.{md,json}; 2026-06-09 run reproduced 2026-06-05 numbers (det cache warm). Indexed in knowledge/THESIS_EVAL_LEDGER.md (Stage 2/3)."
mini-offline-verifier-matrix-1k,2026-06-09,"MINI (n=1000, NON-STANDARD triage) offline verifier matrix with the SINGLE aligned IR verifier: (1) single aligned verifier is RECALL-SAFE on grayscale drones -- gray_svan R 0.548->0.505 vs dedicated mlp_aligned_gray 0.548->0.164 over-veto -- so it can run per-frame on grayscale; grayscale-confuser FP 20->68 (the trade). (2) On the NEW rgb_bird_confuser, patch_v2 (129 FP, -72%) BEATS mlp_v5 (199 FP, -57%) -- counter to mlp>patch on rgb_confuser (216->16 mlp vs 104 patch). (3) NEW thermal IR_confusers (real OOD): bare 0.288 FP/img -> aligned 0.220 (-24%), real headroom unlike in-domain cbam.",supported,"MINI n=1000 strided, NON-STANDARD (THESIS_EVAL_LEDGER); triage only; superseded by full standard run",,,,open,"cache eval/results/_offline_pipeline/offline_eval_results.md (2026-06-09); scripts pipeline_cache.py + pipeline_eval_offline.py (gray variant now ALIGNED_THR). NEW surfaces ir_confusers, rgb_bird_confuser."
mini-routing-scorecard-1k,2026-06-09,"MINI (n=1000, NON-STANDARD triage) full-pipeline routing scorecard, EVAL-ONLY (shipped robust8@0.20 LOADED not trained), single aligned IR verifier for grayscale+thermal, 5 dataset surfaces (no videos). clf->filter production cascade: robust8@0.20 WINS overall -- grayscale-drone recall 0.689 (vs sa32 0.608 / robust6 0.581), RGB-confuser fire 0.044 (vs 0.049/0.053), thermal F1 0.979 (vs 0.982/0.981, negligible cost). The aligned-verifier-for-grayscale change lifted grayscale recall to 0.689 (vs 0.575 under the old per-mode gray verifier). CARVE-OUT: rgb_bird_confuser stays HARD -- bare fire 0.628 -> robust8 cascade 0.198 (filter->clf 0.126); sa32 barely suppresses birds (0.486).",supported,"MINI n=1000 strided, NON-STANDARD; triage only; eval-only on shipped robust8; superseded by full standard run",,,,open,cache eval/results/_routing_pipeline_cmp/comparison.md (2026-06-09 19:28); eval/compare_routing_pipeline.py now loads shipped robust8 + gray->aligned. Supersedes train-based n=4000 numbers in robust8-full-pipeline-cmp.
rgb-collapse-ood-specific,2026-06-10,"retrained_v2 recall collapse is OOD-SPECIFIC: in-domain on its own RGB test split @640 it ties baseline/ft4 (F1 0.949 vs 0.942/0.929), but collapses out-of-domain (Svanstrom IoP 0.462 R=0.306; selcom CCTV IoP 0.007 R=0.003). In-domain model selection would pick the detector that fails in deployment -> the precision pipeline exists to recover this.",supported,,rgb_rgbds_baseline;rgb_rgbds_retrainedv2;rgb_svan_baseline;rgb_svan_retrainedv2;selcom_retrainedv2_1280,,Part-A->B: in-domain selection misleads -> motivates pipeline (C1),confirmed,2026-06-10 RGB Part-A top-up; eval_model.py reproduced baseline selcom 0.1453 == recorded 0.145 (harness validated)
tier1-standard-frozen,2026-06-11,Tier-1 even-strided unified-cache numbers are the FINAL thesis numbers; all 13 surfaces replayed with CIs; thesis fully rewritten on them (116pp clean),supported,tier1_unified config; ft4+v3b conf 0.25,tier1_svan_composed;tier1_antiuav_composed;tier1_rgbconf_pipeline,,yes,confirmed,svan 0.742->0.949 recall-raised; abstract+Ch1+Ch4+Ch5 quote these cells
composed-rgbconf-0p15pct,2026-06-11,Router+verifier composition fires on 0.15pct of RGB confuser frames (4/2633) vs 30.4pct bare - beats old fnfn record 0.8pct at standard config,supported,tier1_unified @640,tier1_rgbconf_pipeline,,yes,confirmed,
gray-conversion-load-bearing,2026-06-11,Grayscale conversion is the load-bearing step of cross-modal transfer at benchmark grade: v3b on svan rawRGB F1 0.187 vs gray 0.580 vs dedicated RGB 0.607,supported,svanstrom n=4000 s7; rawrgb control surface,tier1_gray3way,,yes,confirmed,
gate-position-lesson,2026-06-11,On fully-OOD video the gate POSITION matters more than the gate: per-frame verifier veto (benchmark-tuned thr) over-vetoes OOD drones (window R 0.39-0.44) while router-only cuts fire 71-77pct at 10-17pp F1; predecessor ALERT-GATED veto gained F1 on same surface -> deployment routes per-frame + verifies at alert gate,supported,video_temporal_2of3,temporal_video_production,,yes,confirmed,"Thr sweep DONE (video_thr_sweep_2026_06_11): cost is structural - drone probs smear across [0.01,0.25); near-zero thr makes per-frame verifier ~recall-free on top of router but marginal (fire -7-9pct rel); alert-gate remains the recall-preserving placement"
thermal-confusers-resist,2026-06-11,IR_confusers (Roboflow thermal; airplane-dominated) resist the pipeline: best composed cut -39pct (robust6 0.179) vs -99.5pct on RGB confusers; airplane gap is cross-modal and data-bound,supported,tier1_unified; n=4000 of 5237,tier1_irconf_pipeline,,yes,confirmed,
recall-plus-filter-ood-mode,2026-06-11,"Lowering RGB detector conf (0.25->0.05) + mlp_v5 filter is an OOD/hard-domain operating mode: +10.1pp F1 on selcom (0.591->0.692, recall +22.7pp, filter recall-transparent there) while staying confuser-safe (45 FP vs 29); it does NOT generalize - in-domain RGB loses 12.5pp (v5 carve-out), IR cannot lower (thermal filter too weak, FP +82%), Anti-UAV pipeline saturated at defaults, aligned_gray over-vetoes gray drones at every conf (R 0.62->0.075, matches Tier-1)",conditional,floor-0.05 re-detect cache (no patch); conf grid 0.05-0.50; shipped verifier thrs rgb 0.25/ir 0.05/gray 0.25; robust8 tau 0.20; trust-aware on paired; bootstrap CIs; replay reproduces Tier-1 exactly at 0.25 floor,selcom_confsweep_lowconf_mlp;antiuav_confsweep_pipeline;rgb_confuser_confsweep_lowconf;ir_confsweep_lowconf,,verifier-enabled low-conf operating mode (OOD recall recovery),confirmed,"Full grid: thesis_eval/results/conf_sweep/conf_sweep_results.md; analysis: docs/analysis/2026-06-11_conf_sweep_recall_plus_filter.md; selcom CI caveat: best [0.654-0.730] vs default-filtered [0.551-0.659] marginal overlap, vs default-bare clean"
routing-beats-single-modality-coverage,2026-06-11,"Under coverage scoring (every modality GT counts, misses=FN) dual-sensor routing beats either single modality decisively on Svanstrom: rgb_only F1 0.4579 / ir_only 0.6316 / routed[robust8]+filter 0.9206; routing also beats unrouted both+filt (0.9071). Anti-UAV no-harm (0.9728->0.9733)",supported,,notes_m_ab_svan;notes_m_ab_antiuav,,yes,confirmed,RQ3 answer at the hardware level; complements (does not replace) the trust-aware headline numbers
rgbtest-carveout-small-drone,2026-06-11,"The mlp filter's rgb_dataset_test regression is concentrated on small drones: <16px R 0.7824->0.2562, 16-32px 0.8649->0.4465, 32-64px 0.9359->0.8291, >=64px unaffected 0.9555->0.9506",supported,,notes_per_size_all,,yes,confirmed,explains the known -11.7pp carve-out; ties to resolvable-floor story
confuser-fp-background-invariant,2026-06-11,"RGB confuser hallucination is background-invariant on Svanstrom (fire 65-74% across sky/horizon/ground sequence backgrounds): the confuser object, not the scene, drives FP. Drone recall does dip on pure-sky sequences (0.827 vs 0.944 horizon)",supported,,notes_failure_profile,,yes,confirmed,"coarse 3-class manual seq-level tags (282 seqs, 1 annotator); supports confusers-are-the-located-problem framing"
antiuav-not-clean-but-survives,2026-06-12,"The 'Anti-UAV cascade numbers are fully clean' claim was FALSE: IR train holds 22,603 eval-release frames (30/90 eval segments, 6.3% exact) and the router was mined from the eval test dir (61/90 segments). But conclusions survive: det-clean replay 0.975 bare / 0.985 pipeline matches headline; cascade-clean 0.964->0.975.",supported,"tier1 cache replay, sequence-level clean subsets",leak_auv_detclean,,,confirmed,thesis sec:svanstrom_audit rewritten as component x surface overlap matrix
svan-ir-inflation-measured,2026-06-12,Svanstrom IR-side in-distribution inflation measured: v3b own-GT F1 0.940 -> 0.862 on the 52 sequences with zero frames in IR train (37.3% of eval frames are exact train images). Pipeline robust: 0.696->0.929 on clean seqs vs 0.949 headline.,supported,"tier1 cache replay, det-clean sequence subset n=767",leak_svan_detclean,,,confirmed,upper-bound caveat now quantified at ~8pp; headline framing keeps full-surface numbers with 2pp grain-of-salt note
cbam-ab-confounded,2026-06-13,"The dronediv-vs-aligned A/B on held-out CBAM-valid (180 frames; mri/results/ab_dronediv_cbam, ab_aligned_cbam) is CONFOUNDED and cannot isolate the grayscale-harvested confusers' contribution to the THERMAL filter: dronediv (mlp_v5_ir_dronediv) trained on CBAM-train drones (ir_dronediv_train.yaml main_class:1) while the aligned net held CBAM out entirely (train_aligned.py), so dronediv's better CBAM-valid numbers (FP 47->12 R0.983 F1 0.901 vs aligned 47->15 R0.917 F1 0.846) reflect CBAM-domain exposure + small-n, not grayscale-vs-thermal confuser quality. Aligned arm reproduced its canonical 0.786/0.917/0.846 FP->15 (harness valid).",conditional,"clean A/B = retrain aligned-minus-gray (train_aligned.py --no-gray; thermal drones + ~1800 thermal confusers, CBAM excluded) and score vs aligned on CBAM-valid; NOT run (user declined retrain 2026-06-13)",,,,open,"Thesis reframed 2026-06-13 (round6 note1): dropped the scarcity / 'grayscale supplied what thermal data could not' claim in methodology 3.8.8 + empirical; grayscale framed descriptively as enabling the single dual-path net (one net/two scalers) + supplying the grayscale path. Artifacts: mri/configs/ab_cbam_heldout.yaml, mri/results/ab_{dronediv,aligned}_cbam/holdout.json."
dut-resolution-pipeline,2026-06-13,"On DUT-Anti-UAV test (test split): imgsz 960 beats 640 across the board (recall-driven: ft4 R .783->.854, gray-IR R .419->.496). Trust routers on this confuser-free small-drone set: robust8 ~neutral (960 F1 .758->.763 via precision; over-rejects at 640 .704->.688); robust6 is a NET LOSS at both res (960 .758->.689, 640 .704->.627) -- over-rejects real drones with no FP payoff (no confusers to suppress). mlp/patch verifier filters are a pure recall tax here.",supported,DUT test; RGB in-domain / gray-IR cross-domain; IoU@0.5; n=2200,dut_ft4_rgb_960;dut_ft4_rgb_640;dut_v3b_gray_960;dut_v3b_gray_640,,resolution sensitivity + classifier/verifier earn-their-keep boundary on an external RGB benchmark,confirmed,full ablation incl robust6 + filt->clf cascade: thesis_eval/results_dut/tier1_screening_results.md
dut-recall-router-scan,2026-06-14,"On DUT-Anti-UAV test (grayrgb_paired; RGB strong, gray-IR weak), the recall-maximising trust router is robust_mf_f8_bal (f8, tau=0.1): R .763/F1 .819 @960, R .683/F1 .769 @640 -- beats every other router AND the no-classifier bare ceiling (R .675/.601) because routing to trust_rgb drops the weak gray-IR modality's GT from the trust-aware denominator. 2nd new_router(=robust8@tau0.10) R .706 P .910; then robust8@.20 .665, sa32 .642, robust6 .572, retrained_v2_32feat .277. Routers needing >f8/f32 feats (lean*, control40, optimal_v1, all56, split_v1-paired) not zero-GPU testable.",supported,DUT test; clf-only (no verifier); IoU@0.5; n=2200; zero-GPU cache replay,dut_ft4_rgb_960;dut_v3b_gray_960,,trust-aware recall is not bounded by always-both: down-routing the weak modality raises it,confirmed,"scan: thesis_eval/scan_routers.py on dut_antiuav_{960,640}.pkl"
reject-floor-recall-recovery,2026-06-14,"A single global reject-probability floor x=0.80 on robust8 (honour reject only if P(reject)>=0.80, else route to next-best single modality + that modality's filter), applied identically to every surface, recovers marginal-drone recall where the router over-rejects (DUT R 0.575->0.607, F1 0.701->0.723) while leaving IR-dominant Svanstrom (0.949->0.948) and saturated Anti-UAV (0.984) within 0.1pp; bounded confuser cost (RGB fire unchanged 0.0015; IR +0.9pp 0.217->0.226). One number across all 4 ablation tables.",supported,"robust8 tau=0.20; clf->filt order; per-modality scoring; reject-floor x=0.80 chosen on the test surfaces -> reported as a sensitivity/operating-point arm, not a retuned production point (shipped cell stays clf->filt[robust8])",,,"SUPERSEDED 2026-06-14 (removed from thesis): the rej>=0.8 sensitivity arm is replaced by the shipped no-reject robust8-nr (ledger noreject-router-over-reject), the cleaner treatment of reject over-rejection",confirmed,"zero-GPU replay via pipeline_eval_unified.py reject_floor_labels(); rows merged into tier1_results.json + results_dut after parity check (merge_rf_cell.py, diag_noreject_router.py in ES_Drone_Detection); ties to dut-resolution-pipeline"
filter-threshold-sweep,2026-06-14,"Per-filter detection-level P(drone) sweep (true-drone dets vs confuser dets, zero-GPU): RGB mlp_v5 shipped 0.25 is near-optimal (F1 0.976 vs 0.984 max at ~0.05-0.08, curve flat); IR-thermal aligned F1 is flat 0.939-0.944 across ALL thresholds (filter barely separates thermal confusers = airplane gap), shipped 0.05 just maximizes recall; grayscale aligned_gray shipped 0.25 OVER-VETOES (drone recall 0.467, drops ~half), F1-max at 0.02 lifts recall 0.467->0.710 / F1 0.632->0.788 at confuser FP 21->198",supported,"detection-level pooled PR F1 (POS=GT-matched drone dets on svan+antiuav+dut+ir_dset/svan_gray; NEG=matching confuser surface); pool recall-weighted so t* skews low; diagnostic only, shipped thresholds UNCHANGED",,,not in thesis (diagnostic); informs that grayscale filter threshold is the one mis-set for recall,confirmed,ES_Drone_Detection/diag_filter_sweep.py via batch_probs + metrics.score_detections_detailed; ties to ir-mlp-necessity (thermal airplane gap) + grayscale-drone-recall
noreject-router-over-reject,2026-06-14,"A NO-REJECT 3-class trust router (robust8 recipe, reject class removed, verifier does FP rejection) beats shipped robust8 on MEAN drone-surface F1 (clf-only 0.832 vs 0.754; clf->filt 0.834 vs 0.733): robust8's reject OVER-rejects real drones on drone-positive surfaces -- rgb_dataset_test F1 0.551->0.926, selcom_val 0.220->0.591, dut960 0.763->0.860, video_drone 0.566->0.734, ir_dset_final 0.935->0.961. robust8's reject ONLY wins on confuser-rich svanstrom (0.941 vs 0.756; with verifier 0.949 vs 0.930), where learned reject beats the verifier alone at confuser-FP suppression. drop > both. Pre-verifier no-reject confuser fire = bare (rgb_confuser 0.303 vs robust8 0.049); verifier recovers it (clf->filt 0.011 vs 0.002).",supported,"all unified caches; per-modality trust-aware (no union); EXPERIMENT, NOT in thesis (per user)",,,Ch4 sec:classifier_results (SHIPPED router robust8-nr) + production cells of all ablation tables; robust8 retained as reject-class ablation,confirmed,"SHIPPED 2026-06-14 as thesis production router, in the filt->clf (filter-then-router) composition (recall-better than clf->filt; identical confuser fire since the no-reject router never vetoes a confuser frame). Shipped svan composed 0.944 (vs robust8 ablation 0.963), DUT 0.837, recall 0.991; confuser RGB 0.011/IR 0.237. Audited (NR + filt->clf cells) in _audit_headline_numbers.py 200/200."
